Company,Sector
Adani Enterprises,Metals & Mining
Adani Ports & SEZ,Services
Apollo Hospitals,Healthcare
Asian Paints,Consumer Durables
Axis Bank,Financial Services
Bajaj Auto,Automobile and Auto Components
Bajaj Finance,Financial Services
Bajaj Finserv,Financial Services
Bharat Electronics,Capital Goods
Bharti Airtel,Telecommunication
Cipla,Healthcare
Coal India,"Oil, Gas & Consumable Fuels"
Dr. Reddy's Laboratories,Healthcare
Eicher Motors,Automobile and Auto Components
Eternal,Consumer Services
Grasim Industries,Construction Materials
HCLTech,Information Technology
HDFC Bank,Financial Services
HDFC Life,Financial Services
Hindalco Industries,Metals & Mining
Hindustan Unilever,Fast Moving Consumer Goods
ICICI Bank,Financial Services
IndiGo,Services
Infosys,Information Technology
ITC,Fast Moving Consumer Goods
Jio Financial Services,Financial Services
JSW Steel,Metals & Mining
Kotak Mahindra Bank,Financial Services
Larsen & Toubro,Construction
Mahindra & Mahindra,Automobile and Auto Components
Maruti Suzuki,Automobile and Auto Components
Max Healthcare,Healthcare
Nestlé India,Fast Moving Consumer Goods
NTPC,Power
Oil and Natural Gas Corporation,"Oil, Gas & Consumable Fuels"
Power Grid,Power
Reliance Industries,"Oil, Gas & Consumable Fuels"
SBI Life Insurance Company,Financial Services
Shriram Finance,Financial Services
State Bank of India,Financial Services
Sun Pharma,Healthcare
Tata Consultancy Services,Information Technology
Tata Consumer Products,Fast Moving Consumer Goods
Tata Motors Passenger Vehicles,Automobile and Auto Components
Tata Steel,Metals & Mining
Tech Mahindra,Information Technology
Titan Company,Consumer Durables
Trent,Consumer Services
UltraTech Cement,Construction Materials
Wipro,Information Technology
